time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T05:29:32.630Z,38.8106651,-122.8215027,1.86,0.78,md,13,79,0.006259,0.03,nc,nc73107336,2018-11-06T05:44:03.163Z,"7km WNW of The Geysers, CA",earthquake,0.31,0.55,0.02,3,automatic,nc,nc
2018-11-06T05:17:27.190Z,40.3746667,-120.7981667,1.71,1.74,md,13,117,0.3368,0.15,nc,nc73107331,2018-11-06T16:40:35.751Z,"14km WSW of Susanville, CA",earthquake,0.86,31.61,0.088,10,reviewed,nc,nc
2018-11-06T05:13:44.640Z,34.0253333,-117.2303333,13.44,1.11,ml,44,40,0.09128,0.19,ci,ci38351056,2018-11-06T05:17:23.665Z,"4km SE of Loma Linda, CA",earthquake,0.26,0.58,0.214,30,automatic,ci,ci
2018-11-06T05:12:47.090Z,32.9525,-115.8956667,7.34,1.17,ml,22,60,0.08088,0.28,ci,ci38351048,2018-11-06T05:16:35.185Z,"26km NNE of Ocotillo, CA",earthquake,0.44,1.38,0.253,21,automatic,ci,ci
2018-11-06T05:01:02.100Z,15.5704,-94.5917,10,4.3,mb,,180,2.465,1.05,us,us2000i7b4,2018-11-06T06:37:16.040Z,"73km S of San Francisco del Mar, Mexico",earthquake,8.3,2,0.071,56,reviewed,us,us
2018-11-06T04:58:03.000Z,40.3653333,-120.7315,0.65,1.96,md,16,130,0.3009,0.2,nc,nc73107316,2018-11-06T16:48:03.034Z,"9km SW of Susanville, CA",earthquake,0.89,7.11,0.143,10,reviewed,nc,nc
2018-11-06T04:53:01.825Z,61.402,-151.8279,108.9,3,ml,,,,0.59,ak,ak20333130,2018-11-06T05:15:09.453Z,"84km NNW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T04:43:31.950Z,32.9331667,-116.802,15.85,0.81,ml,13,56,0.05596,0.28,ci,ci38351016,2018-11-06T04:47:21.268Z,"8km SSW of San Diego Country Estates, CA",earthquake,0.63,1.22,0.333,10,automatic,ci,ci
2018-11-06T04:22:28.290Z,35.0343333,-118.4583333,8.79,1.14,ml,21,64,0.1053,0.18,ci,ci38351008,2018-11-06T14:19:36.749Z,"11km S of Tehachapi, CA",earthquake,0.31,1.5,0.204,26,reviewed,ci,ci
2018-11-06T04:19:54.522Z,40.3694,-120.7467,7.1,2.3,ml,19,139.14,0.306,0.2442,nn,nn00664390,2018-11-06T04:42:15.825Z,"9km WSW of Susanville, California",earthquake,,3.6,0.06,7,reviewed,nn,nn
2018-11-06T04:15:37.170Z,33.512,-116.7951667,3.66,0.72,ml,29,48,0.004346,0.16,ci,ci38351000,2018-11-06T14:19:45.807Z,"10km NE of Aguanga, CA",earthquake,0.2,0.45,0.118,23,reviewed,ci,ci
2018-11-06T04:14:43.070Z,28.1762,57.0428,10,4.3,mb,,110,3.304,0.48,us,us2000i7an,2018-11-06T04:33:43.040Z,"114km N of Minab, Iran",earthquake,4.7,2,0.118,20,reviewed,us,us
2018-11-06T04:12:06.460Z,33.5113333,-116.7955,3.6,0.9,ml,34,44,0.004182,0.16,ci,ci38350992,2018-11-06T14:19:54.787Z,"10km NE of Aguanga, CA",earthquake,0.19,0.5,0.094,23,reviewed,ci,ci
